KeyName,Command,IconLocation,DisplayName
!Toolkit\StartMenu,"ExplorerSelect.exe ""%ProgramData%\Microsoft\Windows\Start Menu\Programs""",toolkit.ico,Start Menu
!Toolkit\ipconfig,"""%SYSTEMROOT%\System32\cmd.exe"" /s /k ipconfig",%SYSTEMROOT%\System32\cmd.exe,ipconfig
!Toolkit\EditEnvironmentVariables,"rundll32 sysdm.cpl,EditEnvironmentVariables",SystemProperties.ico,Environment Variables
!Toolkit\RegEdit,RegEdit,RegEdit.ico,Registry Editor
!Toolkit\ToolkitOpenContextMenuResources,"ExplorerSelectInWorkspace.exe ""%V"" ""Toolkit"" ""\registry\contextMenu\resources"" ""C:""",toolkit.ico,ContextMenu - Resources
!Toolkit\IconDll\imageres,"ExplorerSelect.exe ""%SystemRoot%\system32\imageres.dll""",,
